"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
"  Rule",11466,,,5P2RE-1,,,,,,[FIXED]599.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",11467,,,5P2RF-1,,,,,,[FIXED]659.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",11468,,,5P2RD-3,,,,,,[FIXED]569.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",11469,,,5P2RE-3,,,,,,[FIXED]589.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",11470,,,5P2RF-3,,,,,,[FIXED]654.95,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
Product,364,"Hayward Swimming Pool Super Pump",P,,,Hayward,"Hayward Superpump",Right,"<h1>Hayward Super Pump Swimming Pool Pump</h1> <p>When you buy a product manufactured by Hayward, you&rsquo;re guaranteed a high quality, reliable appliance built for longevity, and the Hayward Super Pump is no exemption to the rule!<br /> <br /> Designed for in Ground pools and spas of all sizes and types, the Hayward Super Pump integrates advanced technologies with a superior performance for peaceful, unobtrusive and dependable operations that are endlessly efficient.</p> <p>Ideal as a new installation or to replace an existing pump, the Hayward Super Pump features an exclusive service-ease design for extra convenience, a large transparent strainer and a substantial debris basket.</p> <p><img class=""__mce_add_custom__"" title=""logo-hayward.jpg"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/logo-hayward.jpg"" alt=""logo-hayward.jpg"" width=""335"" height=""53"" /></p> <h3>Hayward Super Pump Features:</h3> <ul> <li>High performance: Noryl impeller</li> <li>Resists chemical and saline corrosion under normal use conditions.</li> <li>Silent: low sound emission</li> <li>Economical: low electricity consumption.</li> <li>Resistant engine with high output.</li> </ul> <p style=""text-align: center;""><strong><span style=""color: #000000;"">Please read over the guide below for the Single (1) and Three Phase (3)&nbsp;</span><span style=""color: #000000;""> Hayward Super Pump to figure out the best option for your requirements. </span></strong></p> <p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Prior to checkout simply use the dropdown box at the top of the page to pick your option.</strong></span></p> <div align=""center""> <table style=""width: 620px; height: 221px;"" border=""0"" cellpadding=""5""> <tbody> <tr> <td class=""tabletopcolor"" width=""87""> <div align=""center"">Code</div> </td> <td class=""tabletopcolor"" width=""90""> <div align=""center"">MFG Code</div> </td> <td class=""tabletopcolor"" width=""124""> <div align=""center"">Horse Power (HP)</div> </td> <td class=""tabletopcolor"" width=""129""> <div align=""center"">Power (kW)</div> </td> <td class=""tabletopcolor"" width=""38""> <div align=""center"">Phase</div> </td> </tr> <tr> <td> <div align=""center"">HAY-10-0005</div> </td> <td> <div align=""center"">SP1608XE111</div> </td> <td> <div align=""center"">0.75</div> </td> <td> <div align=""center"">0.56</div> </td> <td> <div align=""center"">1</div> </td> </tr> <tr> <td class=""tablemidcolor""> <div align=""center"">HAY-10-0006</div> </td> <td class=""tablemidcolor""> <div align=""center"">SP1611XE161</div> </td> <td class=""tablemidcolor""> <div align=""center"">1</div> </td> <td class=""tablemidcolor""> <div align=""center"">0.75</div> </td> <td class=""tablemidcolor""> <div align=""center"">1</div> </td> </tr> <tr> <td> <div align=""center"">HAY-10-0007</div> </td> <td> <div align=""center"">SP1616XE221</div> </td> <td> <div align=""center"">1.5</div> </td> <td> <div align=""center"">1.1</div> </td> <td> <div align=""center"">1</div> </td> </tr> <tr> <td class=""tablemidcolor""> <div align=""center"">HAY-10-0003</div> </td> <td class=""tablemidcolor""> <div align=""center"">SP1622XE251</div> </td> <td class=""tablemidcolor""> <div align=""center"">2</div> </td> <td class=""tablemidcolor""> <div align=""center"">1.5</div> </td> <td class=""tablemidcolor""> <div align=""center"">1</div> </td> </tr> <tr> <td> <div align=""center"">HAY-10-0010</div> </td> <td> <div align=""center"">SP1611XE163</div> </td> <td> <div align=""center"">1</div> </td> <td> <div align=""center"">0.75</div> </td> <td> <div align=""center"">3</div> </td> </tr> <tr> <td class=""tablemidcolor""> <div align=""center"">HAY-10-0001</div> </td> <td class=""tablemidcolor""> <div align=""center"">SP1616XE223</div> </td> <td class=""tablemidcolor""> <div align=""center"">1.5</div> </td> <td class=""tablemidcolor""> <div align=""center"">1.1</div> </td> <td class=""tablemidcolor""> <div align=""center"">3</div> </td> </tr> <tr> <td> <div align=""center"">HAY-10-0002</div> </td> <td> <div align=""center"">SP1622XE253</div> </td> <td> <div align=""center"">2</div> </td> <td> <div align=""center"">1.5</div> </td> <td> <div align=""center"">3</div> </td> </tr> </tbody> </table> </div> <p>&nbsp;</p> <p><img class=""__mce_add_custom__"" style=""display: block; margin-left: auto; margin-right: auto;"" title=""super-pump-b.gif"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/super-pump-b.gif"" alt=""super-pump-b.gif"" width=""606"" height=""359"" /></p>",375.00,0.00,0.00,0.00,0.0000,N,"12 months warranty",0.1000,0.0000,0.0000,0.0000,Y,Y,"Sent on a next day carrier!","by option",0,0,"Swimming Pool;Swimming Pool/Pumps and Filters;Swimming Pool/Pumps and Filters/Pool Pumps",1098,w/445/H_super__80079.jpg,,Y,0,1097,g/454/H_superpump_dia__86961.jpg,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hayward, super, pump, pool pumps,","Hayward Swimming Pool Super Pump","Hayward, Super, Pump, Uk, Swimming, Pool, UK","Buy the emminently reliable and efficient Hayward Super Pump for your swimming pool today from Jacksons Leisure Supplies and receive a next working day delivery.",,,,New,N,N,,N,,,0,"Default Tax Class",3660149603660,N,/swimming-pools/hayward-swimming-pool-super-pump/,,3660149603660,sp1611xe161,,
"  SKU",62,"[S]Select HP=0.75,[RB]Select Phase=Single Phase",,SP1608XE111,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",63,"[S]Select HP=1.0,[RB]Select Phase=Single Phase",,SP1611XE161,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",64,"[S]Select HP=1.5,[RB]Select Phase=Single Phase",,SP1616XE221,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",65,"[S]Select HP=2.0,[RB]Select Phase=Single Phase",,SP1622XE251,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",66,"[S]Select HP=1.0,[RB]Select Phase=Three Phase",,SP1611XE163,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",67,"[S]Select HP=1.5,[RB]Select Phase=Three Phase",,SP1616XE223,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",68,"[S]Select HP=2.0,[RB]Select Phase=Three Phase",,SP1622XE253,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
